DEPT,GR,RHOB,DT,ILD,SP,CALD,DRHO
3180.0,,,,,,,
3180.5,,,,,,,
3181.0,,,,,,,
3181.5,,,,,,,
3182.0,,,,,,,
3182.5,18.65,,,,,,
3183.0,18.66,,,,,,
3183.5,20.06,,,,,,
3184.0,22.14,,,,,,
3184.5,23.5,,,,,,
3185.0,23.93,,,,,,
3185.5,24.9,,,,,,
3186.0,24.49,,,,,,
3186.5,22.36,,,,,,
3187.0,21.76,,,,,,
3187.5,23.14,,,,,,
3188.0,23.87,,,,,,
3188.5,24.68,,,,,,
3189.0,25.43,,,,,,
3189.5,24.83,,,,,,
3190.0,23.36,,,,,,
3190.5,24.01,,,,,,
3191.0,24.53,,,,,,
3191.5,23.42,,,,,,
3192.0,23.77,,,,,,
3192.5,25.41,,,,,,
3193.0,26.37,,,,,,
3193.5,25.73,,,,,,
3194.0,23.37,,,,,,
3194.5,22.69,,,,,,
3195.0,24.11,,,,,,
3195.5,25.25,,,,,,
3196.0,27.25,,,,,,
3196.5,29.82,,,,,,
3197.0,30.31,,,,,,
3197.5,28.35,,,,,,
3198.0,26.24,,,,,,
3198.5,26.5,,,,,,
3199.0,28.4,,,,,,
3199.5,27.78,,,,,7.8,
3200.0,26.81,,,,,7.8,
3200.5,29.09,2.68,,,,7.8,0.03
3201.0,29.17,2.66,,,,7.8,0.01
3201.5,25.25,2.65,,,,7.8,0.0
3202.0,22.12,2.65,,,,7.8,0.0
3202.5,21.52,2.65,,,,7.8,0.01
3203.0,20.85,2.65,,,,7.8,0.0
3203.5,20.78,2.66,,,,7.8,0.0
3204.0,21.96,2.66,,,,7.8,-0.0
3204.5,22.0,2.67,,,,7.8,0.0
3205.0,20.59,2.68,,,,7.8,0.0
3205.5,21.17,2.69,,,,7.8,0.01
3206.0,23.85,2.7,,,,7.8,0.02
3206.5,27.34,2.69,,,,7.8,0.02
3207.0,28.52,2.69,,,,7.8,0.02
3207.5,27.66,2.69,,,,7.8,0.01
3208.0,28.16,2.69,,,,7.8,0.01
3208.5,30.41,2.7,,,,7.8,0.01
3209.0,30.52,2.71,,,,7.8,0.02
3209.5,27.37,2.71,,,,7.8,0.02
3210.0,24.53,2.7,,,,7.8,0.02
3210.5,25.35,2.68,,,,7.8,0.02
3211.0,26.91,2.66,,,,7.8,0.01
3211.5,25.33,2.66,,,,7.8,0.01
3212.0,23.5,2.65,,,,7.79,0.01
3212.5,24.6,2.64,,,,7.8,0.01
3213.0,24.91,2.64,,,,7.8,0.02
3213.5,23.18,2.64,,,,7.8,0.03
3214.0,22.66,2.65,,,,7.8,0.04
3214.5,23.93,2.65,,,,7.8,0.03
3215.0,24.54,2.65,,,,7.8,0.02
3215.5,23.49,2.65,,,,7.8,0.02
3216.0,23.55,2.66,,,,7.8,0.03
3216.5,24.34,2.67,,,,7.8,0.04
3217.0,23.66,2.67,,,,7.8,0.05
3217.5,23.37,2.66,,,,7.8,0.04
3218.0,20.92,2.65,,,,7.8,0.04
3218.5,18.56,2.66,,,,7.8,0.04
3219.0,20.43,2.67,,,,7.8,0.03
3219.5,23.9,2.68,,,,7.8,0.02
3220.0,25.19,2.7,57.78,,,7.8,0.01
3220.5,24.09,2.71,56.95,,,7.8,0.0
3221.0,24.5,2.72,56.23,,,7.8,0.0
3221.5,26.76,2.71,56.15,,,7.8,-0.0
3222.0,28.58,2.68,55.97,,,7.8,-0.0
3222.5,28.82,2.67,55.66,,,7.8,-0.01
3223.0,27.92,2.66,55.99,,,7.8,-0.0
3223.5,28.29,2.68,56.28,,,7.8,0.0
3224.0,30.69,2.72,56.1,,,7.8,0.02
3224.5,37.63,2.74,55.42,,,7.8,0.02
3225.0,47.89,2.74,54.63,,,7.8,0.02
3225.5,48.25,2.73,53.91,,,7.8,0.03
3226.0,36.85,2.72,52.88,,,7.8,0.05
3226.5,26.9,2.71,52.92,,,7.79,0.07
3227.0,25.18,2.71,53.97,,,7.8,0.09
3227.5,29.32,2.71,55.43,,,7.8,0.08
3228.0,34.82,2.69,57.13,,,7.8,0.06
3228.5,35.18,2.67,57.52,,,7.8,0.04
3229.0,31.55,2.66,56.52,,,7.8,0.02
