DEPT,GR,RHOB,DT,ILD,SP,CALD,DRHO
223.0,52.04,2.09,134.32,10000.0,0.62,2.42,0.41
223.5,54.31,1.99,134.65,10000.0,-2.0,2.42,0.37
224.0,62.62,1.83,134.84,10000.0,-3.45,2.42,0.31
224.5,68.31,1.66,134.67,19.07,-3.76,2.42,0.25
225.0,69.72,1.58,134.54,6.51,-3.88,2.42,0.22
225.5,75.59,1.55,134.7,2.97,-3.87,2.42,0.21
226.0,80.74,1.56,135.02,2.39,-3.3,2.42,0.2
226.5,83.59,1.59,135.04,4.05,-3.02,2.42,0.19
227.0,84.37,1.61,134.9,6.41,-3.64,2.42,0.18
227.5,82.13,1.63,135.05,6.58,-4.43,2.42,0.18
228.0,80.41,1.62,135.07,3.9,-3.76,2.42,0.17
228.5,79.23,1.57,135.08,2.7,-2.6,2.42,0.15
229.0,81.74,1.56,135.39,2.36,-1.71,2.42,0.14
229.5,81.75,1.72,135.2,2.31,-0.96,2.42,0.23
230.0,78.29,2.14,134.74,2.4,-0.75,2.42,0.45
230.5,73.82,2.62,134.7,2.56,-1.99,2.42,0.66
231.0,65.88,2.91,134.84,2.68,-3.37,2.42,0.7
231.5,58.15,2.99,134.67,2.82,-3.42,2.42,0.63
232.0,52.05,2.96,134.54,3.01,-2.34,2.42,0.59
232.5,55.32,2.87,134.7,3.15,-1.48,2.42,0.53
233.0,93.89,2.67,135.02,3.09,-3.1,2.42,0.36
233.5,96.88,2.44,135.04,2.83,-6.89,2.42,0.16
234.0,91.17,2.29,134.88,2.5,-10.07,2.41,0.04
234.5,90.06,2.24,134.89,2.27,-11.09,2.42,0.01
235.0,98.56,2.28,134.9,2.18,-9.81,2.42,0.06
235.5,108.24,2.4,135.25,2.22,-7.74,2.42,0.16
236.0,109.38,2.53,135.57,2.35,-5.88,2.42,0.26
236.5,107.61,2.62,135.42,2.52,-4.86,2.42,0.32
237.0,100.56,2.7,135.27,2.64,-4.08,2.42,0.37
237.5,89.69,2.79,135.22,2.67,-3.16,2.42,0.4
238.0,79.59,2.78,135.07,2.68,-1.91,2.42,0.31
238.5,69.61,2.59,134.9,2.72,-0.07,2.42,0.09
239.0,73.65,2.38,135.04,2.8,1.66,2.42,-0.08
239.5,91.15,2.11,135.04,2.88,2.15,2.42,-0.27
240.0,101.86,2.04,134.9,2.91,2.06,2.42,-0.29
240.5,101.42,2.11,135.07,2.86,0.82,2.42,-0.2
241.0,96.2,2.18,135.25,2.77,-2.72,2.42,-0.09
241.5,87.13,2.21,135.45,2.68,-8.86,2.42,-0.01
242.0,83.01,2.24,135.8,2.64,-14.09,2.42,0.08
242.5,84.59,2.33,135.97,2.64,-12.59,2.42,0.21
243.0,86.64,2.42,135.97,2.66,-9.91,2.42,0.33
243.5,92.28,2.52,135.8,2.67,-9.07,2.42,0.46
244.0,99.53,2.65,135.47,2.65,-8.96,2.42,0.61
244.5,102.63,2.79,135.47,2.6,-8.54,2.42,0.77
245.0,105.82,2.9,135.77,2.55,-7.29,2.42,0.91
245.5,111.28,2.96,135.8,2.49,-5.55,2.42,1.03
246.0,113.3,2.94,135.65,2.43,-3.56,2.42,1.07
246.5,111.81,2.79,135.82,2.35,-0.9,2.42,1.0
247.0,114.45,2.46,136.0,2.25,1.65,2.42,0.77
247.5,116.71,2.05,136.17,2.14,1.86,2.42,0.47
248.0,116.44,1.76,136.34,2.07,1.59,2.42,0.27
248.5,118.6,1.65,136.18,2.04,1.28,,0.21
249.0,124.23,1.68,136.02,2.09,0.8,,0.23
249.5,136.8,1.75,136.0,2.22,0.28,,0.23
250.0,153.07,1.85,136.0,2.38,-0.59,,0.17
250.5,160.75,2.18,136.02,2.52,-1.5,8.23,0.16
251.0,150.24,2.27,136.15,2.64,-1.76,8.22,-0.02
251.5,124.53,2.37,136.17,2.75,-2.04,8.23,-0.05
252.0,105.89,2.42,135.83,2.93,-2.81,8.24,-0.03
252.5,109.17,2.35,135.84,3.15,-4.45,8.3,-0.02
253.0,121.13,2.29,135.98,3.25,-6.51,8.33,-0.0
253.5,128.65,2.3,136.0,3.15,-7.41,8.34,0.01
254.0,127.85,2.35,136.02,2.89,-7.85,8.34,0.02
254.5,122.24,2.38,136.18,2.62,-8.89,8.32,0.02
255.0,118.98,2.38,136.37,2.44,-10.16,8.3,0.03
255.5,118.82,2.37,136.38,2.34,-11.22,8.3,0.03
256.0,120.99,2.35,136.55,2.31,-11.64,8.3,0.02
256.5,121.62,2.33,136.52,2.31,-10.78,8.3,0.01
257.0,117.26,2.32,136.22,2.33,-8.54,8.3,0.0
257.5,114.53,2.32,136.2,2.32,-5.77,8.3,0.0
258.0,111.97,2.35,136.37,2.32,-3.17,8.3,0.01
258.5,105.89,2.38,136.4,2.33,-1.5,8.3,0.02
259.0,97.95,2.38,136.75,2.35,-1.5,8.3,0.02
259.5,92.09,2.36,137.1,2.36,-2.43,8.3,0.02
260.0,90.21,2.34,137.13,2.37,-3.55,8.3,0.03
260.5,88.68,2.34,137.3,2.36,-3.97,8.3,0.04
261.0,87.02,2.34,137.28,2.34,-3.06,8.3,0.05
261.5,89.6,2.34,136.97,2.34,-0.89,8.3,0.05
262.0,97.01,2.33,136.97,2.34,1.02,8.3,0.04
262.5,103.05,2.32,137.3,2.37,2.42,8.3,0.04
263.0,104.78,2.33,137.48,2.41,3.44,8.3,0.03
263.5,105.49,2.33,137.5,2.45,3.81,8.3,0.03
264.0,104.92,2.34,137.5,2.44,3.43,8.3,0.03
264.5,100.11,2.35,137.5,2.37,2.39,8.3,0.03
265.0,97.43,2.35,137.5,2.25,1.4,8.3,0.02
265.5,97.95,2.34,137.5,2.09,1.71,8.3,0.01
266.0,98.84,2.34,137.5,1.91,3.26,8.3,0.01
266.5,103.29,2.33,137.5,1.76,4.96,8.31,0.03
267.0,108.49,2.35,137.5,1.64,6.36,8.37,0.07
267.5,112.01,2.36,137.52,1.56,7.41,8.63,0.1
268.0,112.43,2.35,137.7,1.51,7.6,8.63,0.09
268.5,111.44,2.33,138.05,1.49,7.23,8.36,0.07
269.0,111.43,2.33,138.25,1.52,7.11,8.23,0.05
269.5,109.57,2.35,138.43,1.61,7.45,8.23,0.04
270.0,105.3,2.37,138.62,1.76,7.84,8.23,0.02
270.5,100.23,2.39,138.63,2.01,7.81,8.23,0.01
271.0,96.37,2.41,138.85,2.4,7.39,8.23,0.01
271.5,96.37,2.42,139.2,2.86,6.88,8.23,0.0
272.0,94.81,2.43,139.73,3.3,6.28,8.23,0.0
272.5,85.57,2.46,140.1,3.51,5.43,8.23,0.01
273.0,69.69,2.51,140.13,3.45,4.36,8.23,0.01
273.5,58.94,2.55,140.3,3.22,3.65,8.23,0.0
274.0,59.4,2.54,140.28,2.93,3.8,8.23,0.0
274.5,67.62,2.5,139.93,2.62,4.72,8.23,-0.0
275.0,82.46,2.44,139.58,2.34,5.83,8.23,-0.0
275.5,100.17,2.39,139.21,2.08,6.47,8.23,0.0
276.0,110.13,2.37,139.03,1.89,6.62,8.23,0.01
276.5,109.59,2.34,139.03,1.76,6.1,8.23,0.0
277.0,107.3,2.29,139.23,1.71,4.53,8.25,-0.0
277.5,103.98,2.17,139.71,1.72,1.47,8.47,-0.0
278.0,98.98,2.03,139.88,1.76,-2.18,10.41,0.03
278.5,91.44,1.98,139.38,1.82,-4.88,11.14,0.14
279.0,82.51,2.03,139.07,1.9,-6.38,10.81,0.26
279.5,78.17,2.02,139.18,1.98,-7.26,10.77,0.3
280.0,75.39,1.96,139.37,2.06,-7.73,10.29,0.3
280.5,71.15,1.94,139.41,2.15,-8.19,10.15,0.32
281.0,71.34,1.84,139.78,2.24,-8.8,10.12,0.28
281.5,74.48,1.7,140.28,2.3,-9.37,9.7,0.23
282.0,79.09,1.65,140.46,2.3,-8.36,8.46,0.21
282.5,79.76,1.78,140.33,2.26,-5.4,8.33,0.24
283.0,74.62,2.0,140.14,2.21,-2.48,8.59,0.3
283.5,76.75,2.2,140.17,2.18,-0.56,8.75,0.37
284.0,87.7,2.34,140.29,2.15,0.37,8.75,0.45
284.5,94.34,2.43,140.5,2.11,0.83,8.75,0.48
285.0,90.81,2.43,140.31,1.96,1.56,8.82,0.4
285.5,84.49,2.38,140.37,1.8,2.06,8.89,0.26
286.0,82.67,2.35,140.66,1.9,1.6,8.9,0.15
286.5,81.77,2.33,140.85,1.93,0.71,8.9,0.1
287.0,78.76,2.27,140.68,1.97,-0.58,8.9,0.07
287.5,75.27,2.19,140.55,2.03,-2.49,9.31,0.07
288.0,75.97,2.14,140.71,2.15,-4.55,9.58,0.12
288.5,79.69,2.19,141.05,2.33,-6.01,9.75,0.19
289.0,82.03,2.28,141.23,2.57,-6.76,9.15,0.21
289.5,80.99,2.31,141.23,2.82,-7.36,9.22,0.14
290.0,75.98,2.32,141.06,3.03,-8.39,9.36,0.08
290.5,69.79,2.35,140.78,3.22,-9.84,8.8,0.08
291.0,70.36,2.4,141.11,3.34,-11.38,8.68,0.1
291.5,77.37,2.44,141.93,3.37,-12.72,8.6,0.12
292.0,83.15,2.44,141.98,3.34,-13.39,8.39,0.12
292.5,86.31,2.44,141.88,3.24,-13.21,8.3,0.12
293.0,90.25,2.42,142.36,3.06,-12.38,8.3,0.12
293.5,96.01,2.39,142.53,2.87,-11.38,8.3,0.11
294.0,101.47,2.37,142.41,2.67,-10.31,8.31,0.11
294.5,102.96,2.38,142.56,2.51,-9.06,8.33,0.13
295.0,102.5,2.4,142.58,2.39,-8.06,8.33,0.15
295.5,98.53,2.41,142.59,2.32,-7.4,8.32,0.15
296.0,94.46,2.42,142.93,2.28,-6.83,8.24,0.15
296.5,97.85,2.43,142.92,2.26,-5.98,8.23,0.15
297.0,100.79,2.43,142.78,2.25,-4.46,8.23,0.14
297.5,101.4,2.43,142.74,2.24,-3.86,8.23,0.11
298.0,106.89,2.42,142.58,2.23,-3.87,8.23,0.07
298.5,108.73,2.4,142.41,2.22,-4.22,8.25,0.03
299.0,105.47,2.38,142.58,2.22,-4.71,8.25,0.01
299.5,104.25,2.35,142.71,2.22,-5.08,8.25,0.0
300.0,107.41,2.34,142.6,2.22,-4.98,8.28,0.0
300.5,114.76,2.34,142.57,2.23,-4.64,8.3,0.01
301.0,125.27,2.34,142.8,2.24,-4.38,8.3,0.02
301.5,134.24,2.35,142.97,2.25,-4.52,8.3,0.02
302.0,135.2,2.36,143.7,2.27,-4.8,8.3,0.03
302.5,136.44,2.35,144.17,2.29,-4.95,8.3,0.02
303.0,138.11,2.34,144.06,2.31,-4.97,8.3,0.03
303.5,133.81,2.35,143.74,2.32,-5.04,8.3,0.05
304.0,129.85,2.36,143.71,2.33,-5.23,8.3,0.07
304.5,126.42,2.38,143.88,2.33,-5.49,8.3,0.08
305.0,125.86,2.4,143.87,2.33,-5.73,8.3,0.09
305.5,121.0,2.41,143.88,2.32,-5.87,8.3,0.09
306.0,117.19,2.4,143.69,2.32,-5.91,8.3,0.08
306.5,119.49,2.39,143.53,2.32,-5.93,8.3,0.07
307.0,118.0,2.38,143.51,2.32,-5.93,8.3,0.06
307.5,110.44,2.37,143.56,2.32,-5.94,8.3,0.04
308.0,104.19,2.37,143.87,2.32,-5.96,8.3,0.04
308.5,102.22,2.38,144.23,2.32,-5.98,8.3,0.04
309.0,105.72,2.38,144.07,2.32,-6.02,8.3,0.04
309.5,111.35,2.37,144.13,2.33,-6.04,8.3,0.03
310.0,111.74,2.36,144.42,2.33,-6.0,8.3,0.04
310.5,106.04,2.37,144.66,2.33,-6.02,8.3,0.05
311.0,102.23,2.37,144.82,2.34,-6.0,8.3,0.05
311.5,103.01,2.36,145.16,2.34,-5.97,8.3,0.04
312.0,107.45,2.35,144.99,2.34,-5.99,8.3,0.03
312.5,110.0,2.34,144.69,2.35,-6.11,8.3,0.04
313.0,107.67,2.33,144.86,2.34,-6.26,8.3,0.04
313.5,107.13,2.34,145.19,2.32,-6.3,8.3,0.05
314.0,105.08,2.34,145.56,2.29,-6.18,8.3,0.05
314.5,106.02,2.35,145.74,2.22,-5.89,8.3,0.04
315.0,112.44,2.36,145.79,2.14,-5.48,8.3,0.03
315.5,117.84,2.36,145.97,2.04,-5.15,8.3,0.02
316.0,119.62,2.37,146.29,1.96,-4.67,8.3,0.01
316.5,115.32,2.38,146.29,1.93,-3.87,8.3,0.01
317.0,111.53,2.39,145.94,1.97,-2.98,8.3,0.01
317.5,115.21,2.39,145.61,2.07,-2.57,8.3,0.01
318.0,112.53,2.39,145.44,2.25,-2.77,8.3,0.01
318.5,101.07,2.41,145.72,2.46,-3.63,8.3,0.01
319.0,91.95,2.44,145.71,2.64,-5.12,8.23,0.01
319.5,82.42,2.48,145.02,2.81,-6.6,8.28,0.01
320.0,72.87,2.43,144.7,3.01,-7.45,8.54,-0.0
320.5,72.67,2.22,144.62,3.32,-8.39,8.77,-0.01
321.0,78.2,1.97,144.72,3.79,-10.15,9.19,0.02
321.5,84.29,1.86,146.22,4.28,-12.87,8.27,0.12
322.0,89.21,1.89,157.1,4.58,-15.78,8.21,0.21
322.5,87.53,2.06,177.55,4.55,-17.37,8.15,0.21
323.0,84.13,2.25,187.77,4.33,-16.95,8.15,0.13
323.5,84.89,2.43,188.75,4.08,-15.58,8.15,0.05
324.0,87.02,2.52,188.64,3.86,-14.61,8.15,0.01
324.5,84.1,2.55,188.75,3.68,-13.97,8.15,-0.0
325.0,84.53,2.54,188.76,3.46,-13.18,8.15,-0.0
325.5,92.15,2.51,188.44,3.15,-12.54,8.15,0.0
326.0,95.35,2.48,189.53,2.79,-12.28,8.15,0.01
326.5,95.81,2.47,199.39,2.47,-12.17,8.15,0.02
327.0,95.77,2.46,221.38,2.23,-11.6,8.15,0.06
327.5,103.67,2.45,237.62,2.08,-9.79,8.15,0.11
328.0,117.55,2.42,242.3,2.02,-7.06,8.15,0.13
328.5,121.17,2.31,242.8,2.01,-4.51,8.15,0.09
329.0,119.5,2.26,242.7,2.04,-2.59,8.15,0.11
329.5,118.7,2.3,242.42,2.09,-1.46,8.15,0.16
330.0,120.57,2.36,242.48,2.15,-0.76,8.15,0.12
330.5,119.46,2.38,242.86,2.23,-0.26,8.15,0.05
331.0,112.7,2.41,243.06,2.31,0.11,8.22,0.01
331.5,111.73,2.41,242.96,2.38,0.36,8.22,0.0
332.0,118.52,2.42,242.67,2.43,0.38,8.22,0.0
332.5,118.54,2.42,242.57,2.44,0.01,8.22,0.0
333.0,108.55,2.42,242.78,2.43,-0.63,8.23,0.0
333.5,102.81,2.42,243.18,2.43,-1.19,8.23,-0.01
334.0,107.15,2.42,243.41,2.43,-1.26,8.23,-0.01
334.5,111.36,2.43,243.49,2.45,-0.73,8.23,-0.0
335.0,110.43,2.43,243.57,2.48,0.14,8.23,0.0
335.5,103.44,2.44,243.78,2.51,0.99,8.23,0.01
336.0,99.32,2.45,244.02,2.58,1.59,8.23,0.01
336.5,96.12,2.45,244.06,2.7,1.85,8.23,0.01
