DEPT,GR,RHOB,DT,ILD,SP,CALD,DRHO
1814.2,,,,,,8.45,
1814.7,,,,,,8.45,
1815.2,,2.61,,,,8.44,0.0
1815.7,,2.61,,,,8.44,0.0
1816.2,,2.62,,,,8.45,0.0
1816.7,,2.62,,,,8.44,0.0
1817.2,31.07,2.64,,,,8.44,0.01
1817.7,32.77,2.64,,,,8.44,0.01
1818.2,33.37,2.65,,,,8.44,0.01
1818.7,35.08,2.65,,,,8.45,0.01
1819.2,35.28,2.64,,,,8.45,0.0
1819.7,34.37,2.63,,,,8.44,-0.0
1820.2,34.05,2.62,,,,8.44,0.01
1820.7,33.23,2.61,,,,8.44,0.02
1821.2,32.69,2.61,,,,8.44,0.02
1821.7,31.11,2.61,,,,8.44,0.01
1822.2,28.89,2.62,,,,8.44,0.0
1822.7,27.18,2.63,,,,8.44,0.0
1823.2,26.2,2.63,,,,8.44,-0.0
1823.7,26.89,2.63,,,,8.44,-0.0
1824.2,26.88,2.63,,,,8.44,-0.01
1824.7,26.66,2.64,,,,8.43,-0.01
1825.2,26.64,2.64,,,,8.38,-0.01
1825.7,27.19,2.63,,,,8.35,-0.02
1826.2,32.24,2.62,,,,8.35,-0.02
1826.7,36.98,2.62,,,,8.35,-0.02
1827.2,37.77,2.61,,,,8.36,-0.02
1827.7,40.29,2.6,,36.33,,8.36,-0.02
1828.2,46.02,2.6,,36.5,,8.36,-0.01
1828.7,48.62,2.59,,36.89,,8.36,0.01
1829.2,44.14,2.59,,37.45,,8.36,0.02
1829.7,38.95,2.6,,37.92,,8.36,0.04
1830.2,35.9,2.62,,38.23,,8.36,0.04
1830.7,33.27,2.62,,38.75,,8.35,0.03
1831.2,32.07,2.61,,39.54,,8.35,0.02
1831.7,30.97,2.59,,40.31,,8.36,0.01
1832.2,28.93,2.58,,41.16,,8.35,0.0
1832.7,26.55,2.57,,42.15,,8.35,-0.0
1833.2,26.62,2.55,,43.24,,8.35,-0.0
1833.7,29.7,2.55,,44.11,,8.34,0.0
1834.2,31.84,2.56,,44.95,,8.29,0.01
1834.7,31.12,2.58,58.41,45.87,,8.26,0.03
1835.2,30.12,2.6,58.93,46.81,,8.3,0.05
1835.7,29.81,2.59,58.71,48.05,,8.35,0.05
1836.2,26.76,2.56,58.17,49.53,,8.35,0.03
1836.7,21.56,2.55,57.87,50.93,,8.36,0.01
1837.2,21.08,2.56,57.27,52.11,,8.35,0.0
1837.7,25.78,2.59,56.53,53.13,,8.36,0.0
1838.2,28.92,2.6,55.98,53.9,,8.36,0.01
1838.7,28.06,2.61,55.41,54.47,,8.36,0.01
1839.2,26.1,2.6,54.7,54.83,407.21,8.36,0.01
1839.7,24.71,2.6,54.19,54.92,407.31,8.36,0.01
1840.2,23.04,2.6,54.46,55.18,407.73,8.35,0.0
1840.7,20.53,2.59,54.72,55.74,408.29,8.35,0.0
1841.2,19.26,2.61,54.06,56.31,408.62,8.35,0.01
1841.7,18.87,2.62,53.56,56.91,408.8,8.36,0.03
1842.2,19.45,2.63,53.71,57.52,409.23,8.35,0.02
1842.7,22.84,2.63,54.02,58.18,409.8,8.35,0.02
1843.2,25.98,2.64,54.09,59.28,410.09,8.36,0.01
1843.7,27.26,2.64,53.7,60.52,409.92,8.36,0.01
1844.2,27.16,2.63,53.45,61.46,409.35,8.35,0.01
1844.7,25.88,2.64,53.44,61.75,408.53,8.35,0.01
1845.2,27.22,2.66,53.19,61.13,407.59,8.36,0.02
1845.7,30.94,2.66,52.99,59.88,406.59,8.36,0.02
1846.2,31.57,2.65,52.88,58.25,405.46,8.36,0.02
1846.7,29.92,2.64,52.63,55.91,404.08,8.36,0.02
1847.2,29.1,2.62,52.45,53.13,402.57,8.36,0.02
1847.7,28.58,2.6,52.81,50.11,400.99,8.35,0.02
1848.2,27.57,2.58,53.9,46.8,399.44,8.35,0.01
1848.7,26.0,2.57,54.87,43.51,398.13,8.35,0.01
1849.2,23.1,2.56,55.26,40.73,397.04,8.36,0.01
1849.7,19.66,2.55,55.64,38.71,396.19,8.35,0.01
1850.2,19.05,2.54,56.4,37.19,395.65,8.35,0.01
1850.7,20.33,2.54,57.0,36.11,395.4,8.35,0.0
1851.2,19.59,2.54,56.65,35.29,395.37,8.36,-0.0
1851.7,17.44,2.55,56.04,34.79,395.42,8.36,-0.01
1852.2,18.38,2.56,56.05,34.66,395.42,8.36,-0.01
1852.7,22.84,2.57,56.37,35.04,395.34,8.36,-0.0
1853.2,24.75,2.58,56.25,36.03,395.26,8.36,-0.0
1853.7,21.48,2.59,55.58,37.31,395.32,8.35,0.0
1854.2,18.68,2.6,54.76,38.59,395.47,8.35,0.0
1854.7,17.72,2.62,54.03,39.76,395.79,8.35,0.0
1855.2,16.2,2.63,53.2,40.99,396.32,8.35,-0.0
1855.7,15.89,2.64,52.29,42.14,396.82,8.35,0.0
1856.2,19.65,2.63,52.39,42.9,397.12,8.36,0.0
1856.7,23.68,2.61,53.24,43.31,397.16,8.36,0.0
1857.2,23.79,2.58,53.8,43.28,397.04,8.36,0.01
1857.7,21.81,2.57,54.09,42.8,396.86,8.36,0.01
1858.2,18.26,2.56,54.18,42.17,396.58,8.36,0.01
1858.7,14.17,2.57,54.16,41.47,396.39,8.37,0.0
1859.2,13.75,2.57,54.63,40.8,396.43,8.42,0.01
1859.7,14.79,2.57,55.1,40.19,396.52,8.45,0.01
1860.2,14.39,2.57,55.01,39.78,396.58,8.45,0.01
1860.7,14.36,2.57,54.44,39.55,396.82,8.44,0.01
1861.2,13.77,2.57,53.56,39.62,397.19,8.44,0.02
1861.7,11.93,2.57,53.17,40.08,397.59,8.44,0.02
1862.2,12.67,2.56,53.68,40.98,397.99,8.44,0.02
1862.7,15.55,2.56,54.12,41.98,398.51,8.45,0.01
1863.2,15.8,2.56,54.21,42.8,399.4,8.44,0.0
1863.7,14.72,2.57,54.38,43.32,400.43,8.44,-0.0
1864.2,16.72,2.57,54.23,43.6,401.23,8.45,0.0
1864.7,19.69,2.58,54.15,43.54,401.84,8.45,0.0
1865.2,19.35,2.59,54.76,43.45,402.56,8.45,-0.0
1865.7,17.73,2.6,55.13,43.4,403.26,8.45,-0.0
1866.2,17.1,2.61,55.28,43.36,403.53,8.45,-0.0
1866.7,15.75,2.6,55.72,43.24,403.34,8.44,-0.01
1867.2,14.81,2.59,55.75,42.99,403.22,8.44,-0.01
1867.7,14.71,2.58,55.26,42.67,403.65,8.44,-0.01
1868.2,14.31,2.57,54.47,42.62,404.4,8.45,-0.01
1868.7,14.89,2.56,53.89,43.05,405.11,8.45,-0.01
1869.2,15.32,2.56,54.18,43.67,405.71,8.44,-0.02
1869.7,14.91,2.55,54.85,44.27,406.39,8.44,-0.03
1870.2,14.56,2.55,54.78,44.79,407.29,8.44,-0.03
1870.7,13.88,2.56,54.12,45.24,408.37,8.44,-0.03
1871.2,13.92,2.58,54.01,45.74,409.52,8.44,-0.02
1871.7,15.2,2.6,54.41,46.22,410.84,8.44,-0.01
1872.2,16.28,2.61,54.57,46.73,412.59,8.44,-0.01
1872.7,16.72,2.62,54.33,47.76,414.58,8.44,-0.0
1873.2,16.68,2.63,53.66,49.21,416.58,8.44,-0.0
1873.7,16.75,2.65,52.54,50.93,418.58,8.44,0.0
1874.2,19.04,2.67,51.25,53.19,420.44,8.44,0.0
1874.7,22.73,2.68,50.59,55.74,422.15,8.45,0.0
1875.2,24.85,2.7,50.91,57.97,424.02,8.45,-0.0
1875.7,25.47,2.71,51.47,59.41,426.14,8.44,-0.0
1876.2,25.48,2.72,51.34,60.19,428.1,8.44,-0.0
1876.7,26.48,2.73,50.14,60.19,429.77,8.44,0.0
1877.2,29.31,2.71,48.89,59.83,431.37,8.44,0.0
1877.7,31.67,2.69,48.96,59.37,433.16,8.44,0.0
1878.2,30.29,2.69,50.34,58.49,434.91,8.44,0.01
1878.7,26.02,2.68,51.65,56.89,436.28,8.44,0.01
1879.2,22.26,2.67,52.04,54.54,437.28,8.44,0.01
1879.7,21.3,2.66,51.87,52.4,438.11,8.44,0.0
1880.2,24.44,2.64,52.02,50.49,438.96,8.44,-0.0
1880.7,33.01,2.63,52.98,49.07,439.72,8.44,-0.0
1881.2,43.76,2.64,54.2,48.42,440.27,8.45,0.01
1881.7,52.94,2.64,54.69,47.94,440.58,8.44,0.02
1882.2,56.3,2.65,54.51,47.59,440.67,8.44,0.01
1882.7,51.03,2.65,54.06,47.56,440.65,8.44,0.01
1883.2,42.45,2.65,53.06,48.05,440.5,8.45,0.0
1883.7,34.73,2.65,51.54,49.37,440.09,8.45,-0.0
1884.2,29.73,2.66,49.97,51.2,439.44,8.45,-0.0
1884.7,26.63,2.66,48.71,53.44,438.63,8.44,-0.0
1885.2,23.38,2.64,47.9,55.56,437.66,8.44,-0.0
1885.7,20.95,2.64,47.45,57.3,436.71,8.45,-0.0
1886.2,19.33,2.64,47.45,57.87,435.96,8.44,-0.0
1886.7,17.04,2.65,47.97,57.15,435.5,8.44,-0.0
1887.2,14.96,2.65,48.13,55.92,435.28,8.44,0.0
1887.7,15.55,2.65,48.14,55.23,435.17,8.44,0.0
1888.2,15.94,2.64,48.34,55.0,435.3,8.45,0.0
1888.7,13.91,2.64,48.25,54.55,435.85,8.45,-0.0
1889.2,13.31,2.64,47.78,53.14,436.81,8.45,-0.0
1889.7,16.08,2.64,47.98,50.36,437.84,8.45,-0.01
1890.2,20.62,2.64,49.15,46.74,438.94,8.45,-0.01
1890.7,26.39,2.63,50.3,43.11,440.37,8.44,-0.01
1891.2,34.89,2.63,50.85,39.36,442.22,8.44,-0.01
1891.7,46.76,2.62,52.5,35.73,444.22,8.45,0.0
1892.2,59.77,2.62,55.78,32.43,446.11,8.45,0.02
1892.7,69.76,2.61,58.88,28.98,447.7,8.45,0.02
1893.2,72.41,2.61,61.03,25.58,448.74,8.44,0.02
1893.7,71.25,2.61,62.56,22.65,449.33,8.44,0.02
1894.2,73.85,2.6,64.0,20.32,449.68,8.45,0.03
1894.7,81.28,2.6,65.53,18.41,450.04,8.44,0.04
1895.2,91.94,2.59,67.88,16.86,450.44,8.44,0.05
1895.7,99.47,2.58,70.9,15.51,450.85,8.42,0.04
1896.2,98.54,2.56,73.36,14.26,451.26,8.37,0.04
1896.7,96.67,2.55,75.03,13.25,451.62,8.36,0.04
1897.2,97.08,2.55,76.08,12.61,451.81,8.36,0.06
1897.7,95.85,2.54,77.0,12.34,451.72,8.36,0.06
1898.2,94.23,2.53,77.28,12.48,451.53,8.35,0.04
1898.7,95.44,2.53,76.6,13.09,451.44,8.36,0.04
1899.2,98.47,2.56,75.22,14.19,451.45,8.36,0.04
1899.7,93.73,2.6,72.82,15.79,451.4,8.36,0.04
1900.2,73.95,2.62,69.05,17.79,451.17,8.35,0.03
1900.7,51.85,2.63,63.79,20.23,450.83,8.35,0.01
1901.2,41.55,2.62,58.76,23.38,450.56,8.36,0.01
1901.7,42.44,2.62,56.57,26.95,450.54,8.36,0.01
1902.2,48.27,2.62,57.07,29.58,450.82,8.36,0.01
1902.7,50.85,2.62,58.52,29.6,451.09,8.36,0.01
1903.2,49.15,2.63,59.97,26.77,450.93,8.36,0.02
1903.7,47.31,2.62,60.98,22.85,450.5,8.36,0.02
1904.2,47.41,2.6,62.23,19.38,450.38,8.36,0.03
1904.7,54.6,2.58,65.48,16.97,450.56,8.36,0.03
1905.2,69.12,2.55,70.88,15.42,450.77,8.36,0.03
1905.7,78.8,2.54,76.24,14.37,450.79,8.36,0.02
1906.2,79.38,2.54,79.92,13.59,450.63,8.35,0.01
1906.7,78.91,2.54,81.76,13.07,450.49,8.36,0.01
1907.2,76.02,2.55,81.5,12.78,450.43,8.36,0.01
1907.7,69.79,2.56,80.12,12.76,450.57,8.36,0.02
1908.2,65.47,2.56,78.71,12.91,450.86,8.36,0.02
1908.7,61.54,2.55,77.4,13.22,450.92,8.36,0.01
1909.2,58.27,2.54,76.8,13.69,450.68,8.36,0.01
1909.7,59.81,2.54,77.4,14.29,450.46,8.35,0.02
1910.2,63.4,2.55,77.81,15.06,450.37,8.35,0.02
1910.7,61.69,2.56,77.49,16.13,450.2,8.35,0.02
1911.2,53.98,2.58,76.2,17.6,449.81,8.36,0.01
1911.7,46.38,2.6,73.46,19.54,449.3,8.36,0.01
